MAFbin MEAN_FST COMP
0.5 0.241803155764331 FRA.3.IND
0.1 0.00411637053478224 FRA.3.STO
0.2 0.00728210075216598 FRA.3.STO
0.3 0.0783920389719231 FRA.3.STO
0.4 0.223412798385778 FRA.3.STO
0.5 0.382809638576256 FRA.3.STO
0.1 0.00548201569250473 IND.FRG
0.2 0.00882947853369539 IND.FRG
0.3 0.0194982097673002 IND.FRG
0.4 0.0384992108380558 IND.FRG
0.5 0.0502244861122823 IND.FRG
0.1 0.0267378759738822 MOR.ACO
0.2 0.0207348197815611 MOR.ACO
0.3 0.0518748909774255 MOR.ACO
0.4 0.0881757014728097 MOR.ACO
0.5 0.182580056236716 MOR.ACO
0.1 0.0023160089245034 MOR.CAP
0.2 0.00456706061068868 MOR.CAP
0.3 0.0725761531327406 MOR.CAP
0.4 0.139058413204404 MOR.CAP
0.5 0.279779927436404 MOR.CAP
0.1 0.0375883453379619 MOR.FRA.1
0.2 0.0479324206769385 MOR.FRA.1
0.3 0.0415424541521433 MOR.FRA.1
0.4 0.0484027166481552 MOR.FRA.1
0.5 0.0644007856164236 MOR.FRA.1
0.1 0.0188767152443952 MOR.FRA.2
0.2 0.017987362424354 MOR.FRA.2
0.3 0.0544557446205611 MOR.FRA.2
0.4 0.0850896772307153 MOR.FRA.2
0.5 0.197513754467733 MOR.FRA.2
0.1 0.00233739679419582 MOR.FRA.3
0.2 0.00945391429157313 MOR.FRA.3
0.3 0.0998476280247059 MOR.FRA.3
0.4 0.191932587313159 MOR.FRA.3
0.5 0.288457534481865 MOR.FRA.3
0.1 0.00765551606671382 MOR.FRG
0.2 0.015623758899992 MOR.FRG
0.3 0.0259145886893539 MOR.FRG
0.4 0.0381056105883547 MOR.FRG
0.5 0.058369079318592 MOR.FRG
0.1 0.0201242277216861 MOR.IND
0.2 0.0278091860253344 MOR.IND
0.3 0.0515155510438828 MOR.IND
0.4 0.0693983395601656 MOR.IND
0.5 0.118801309054828 MOR.IND
0.1 0.0106690612611363 MOR.NAM
0.2 0.0326155667653882 MOR.NAM
0.3 0.0882758806333862 MOR.NAM
0.4 0.138679828522723 MOR.NAM
0.5 0.232258817049708 MOR.NAM
0.1 0.0303541579484579 MOR.STO
0.2 0.0496232988210341 MOR.STO
0.3 0.0868794573243429 MOR.STO
0.4 0.119201793761331 MOR.STO
0.5 0.196067651763552 MOR.STO
0.1 0.1048637655357 NAM.FRA.1
0.2 0.178083425634744 NAM.FRA.1
0.3 0.177899708899877 NAM.FRA.1
0.4 0.196682710944075 NAM.FRA.1
0.5 0.23013214260887 NAM.FRA.1
